Tile_Name,CRS,Width,Height,Pixel_Size_X,Pixel_Size_Y,Bands,Dtype,Nodata
17_20241129_054359_147_SN50_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,8450,9261,1.21,1.21,4,uint8,"(None, None, None, None)"
18_20241129_054358_499_SN50_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,8522,9144,1.21,1.21,4,uint8,"(None, None, None, None)"
19_20241129_054357_865_SN50_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,8463,9048,1.21,1.21,4,uint8,"(None, None, None, None)"
32_20240716_043003_536_SN32_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,7206,6978,1.21,1.21,4,uint8,"(None, None, None, None)"
33_20240716_043002_901_SN32_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,7175,6998,1.21,1.21,4,uint8,"(None, None, None, None)"
34_20240716_043002_264_SN32_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,6940,7034,1.21,1.21,4,uint8,"(None, None, None, None)"
4_20241124_054616_030_SN50_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,8757,9194,1.21,1.21,4,uint8,"(None, None, None, None)"
5_20241124_054615_396_SN50_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,8740,9120,1.21,1.21,4,uint8,"(None, None, None, None)"
6_20241124_054614_762_SN50_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,8794,9141,1.21,1.21,4,uint8,"(None, None, None, None)"
7_20241124_054614_128_SN50_L1C_MS_ortho_8bit_ncc_rendered_7_4.tif,EPSG:3857,8720,9035,1.21,1.21,4,uint8,"(None, None, None, None)"
